"year","wasteshed","material","LCstage","disposition","umbDisp","tons"
2018,"Columbia","PlasticFilm","endOfLife","landfilling","Disposal",1487.98732796571
2018,"Columbia","PlasticFilm","endOfLife","recycling","Recovery",12.071
2018,"Columbia","PlasticFilm","endOfLifeTransport","combustion","Disposal",0.00552207082378753
2018,"Columbia","PlasticFilm","endOfLifeTransport","landfilling","Disposal",1487.98732796571
2018,"Columbia","PlasticFilm","endOfLifeTransport","recycling","Recovery",12.071
2018,"Columbia","PlasticFilm","production","production","Production",1500.06385003653
2018,"Columbia","ScrapMetal","endOfLife","landfilling","Disposal",1204.92866985425
2018,"Columbia","ScrapMetal","endOfLife","recycling","Recovery",1187.662
2018,"Columbia","ScrapMetal","endOfLifeTransport","landfilling","Disposal",1204.92866985425
2018,"Columbia","ScrapMetal","endOfLifeTransport","recycling","Recovery",1187.662
2018,"Columbia","ScrapMetal","production","production","Production",2392.59514146588
2018,"Columbia","TinnedCan","endOfLife","landfilling","Disposal",197.497526639205
2018,"Columbia","TinnedCan","endOfLife","recycling","Recovery",2.985
2018,"Columbia","TinnedCan","endOfLifeTransport","landfilling","Disposal",197.497526639205
2018,"Columbia","TinnedCan","endOfLifeTransport","recycling","Recovery",2.985
2018,"Columbia","TinnedCan","production","production","Production",200.483259572416
2018,"Coos","Aluminum","endOfLife","landfilling","Disposal",180.804264350746
2018,"Coos","Aluminum","endOfLife","recycling","Recovery",425.195
2018,"Coos","Aluminum","endOfLifeTransport","landfilling","Disposal",180.804264350746
2018,"Coos","Aluminum","endOfLifeTransport","recycling","Recovery",425.195
2018,"Coos","Aluminum","production","production","Production",605.999299681255
2018,"Coos","Cardboard","endOfLife","combustion","Disposal",0.000309145240551694
2018,"Coos","Cardboard","endOfLife","landfilling","Disposal",1582.05413797347
2018,"Coos","Cardboard","endOfLife","recycling","Recovery",3219.579
2018,"Coos","Cardboard","endOfLifeTransport","combustion","Disposal",0.000309145240551694
2018,"Coos","Cardboard","endOfLifeTransport","landfilling","Disposal",1582.05413797347
2018,"Coos","Cardboard","endOfLifeTransport","recycling","Recovery",3219.579
2018,"Coos","Cardboard","production","production","Production",4801.63344711871
2018,"Coos","Carpeting","endOfLife","combustion","Disposal",0.000228685277652682
2018,"Coos","Carpeting","endOfLife","landfilling","Disposal",1170.29940088481
2018,"Coos","Carpeting","endOfLife","recycling",NA,0
2018,"Coos","Carpeting","endOfLifeTransport","combustion","Disposal",0.000228685277652682
2018,"Coos","Carpeting","endOfLifeTransport","landfilling","Disposal",1170.29940088481
2018,"Coos","Carpeting","endOfLifeTransport","recycling",NA,0
2018,"Coos","Carpeting","production","production","Production",1170.29962957009
2018,"Coos","FoodWaste","endOfLife","anaerobicDigestion",NA,0
2018,"Coos","FoodWaste","endOfLife","combustion","Disposal",0.00142771917769978
2018,"Coos","FoodWaste","endOfLife","composting","Recovery",38.74
2018,"Coos","FoodWaste","endOfLife","landfilling","Disposal",7306.36845294186
2018,"Coos","FoodWaste","endOfLifeTransport","anaerobicDigestion",NA,0
2018,"Coos","FoodWaste","endOfLifeTransport","combustion","Disposal",0.00142771917769978
2018,"Coos","FoodWaste","endOfLifeTransport","composting","Recovery",38.74
2018,"Coos","FoodWaste","endOfLifeTransport","landfilling","Disposal",7306.36845294186
2018,"Coos","FoodWaste","production","production","Production",7345.10988066103
2018,"Coos","Glass","endOfLife","landfilling","Disposal",761.953012681348
2018,"Coos","Glass","endOfLife","recycling","Recovery",1092.879
2018,"Coos","Glass","endOfLife","recyclingPozzolan",NA,0
2018,"Coos","Glass","endOfLife","recyclingToFiberglass",NA,0
2018,"Coos","Glass","endOfLife","reuseContainer",NA,0
2018,"Coos","Glass","endOfLife","useAsAggregate",NA,0
2018,"Coos","Glass","endOfLifeTransport","landfilling","Disposal",761.953012681348
2018,"Coos","Glass","endOfLifeTransport","recycling","Recovery",1092.879
2018,"Coos","Glass","endOfLifeTransport","recyclingPozzolan",NA,0
2018,"Coos","Glass","endOfLifeTransport","recyclingToFiberglass",NA,0
2018,"Coos","Glass","endOfLifeTransport","reuseContainer",NA,0
2018,"Coos","Glass","endOfLifeTransport","useAsAggregate",NA,0
2018,"Coos","Glass","production","production","Production",1854.83216157268
2018,"Coos","PaperFiber","endOfLife","combustion","Disposal",0.00118364355558422
2018,"Coos","PaperFiber","endOfLife","landfilling","Disposal",6057.30879652512
2018,"Coos","PaperFiber","endOfLife","recycling","Recovery",863.49
2018,"Coos","PaperFiber","endOfLifeTransport","combustion","Disposal",0.00118364355558422
2018,"Coos","PaperFiber","endOfLifeTransport","landfilling","Disposal",6057.30879652512
2018,"Coos","PaperFiber","endOfLifeTransport","recycling","Recovery",863.49
2018,"Coos","PaperFiber","production","production","Production",6920.79998016867
2018,"Coos","PlasticFilm","endOfLife","combustion","Disposal",0.00046017256871406
2018,"Coos","PlasticFilm","endOfLife","landfilling","Disposal",2354.93813592846
2018,"Coos","PlasticFilm","endOfLife","recycling","Recovery",16.963
2018,"Coos","PlasticFilm","endOfLifeTransport","combustion","Disposal",0.00046017256871406
2018,"Coos","PlasticFilm","endOfLifeTransport","landfilling","Disposal",2354.93813592846
2018,"Coos","PlasticFilm","endOfLifeTransport","recycling","Recovery",16.963
2018,"Coos","PlasticFilm","production","production","Production",2371.90159610103
2018,"Coos","ScrapMetal","endOfLife","landfilling","Disposal",1906.96010804919
2018,"Coos","ScrapMetal","endOfLife","recycling","Recovery",5281.404
2018,"Coos","ScrapMetal","endOfLifeTransport","landfilling","Disposal",1906.96010804919
2018,"Coos","ScrapMetal","endOfLifeTransport","recycling","Recovery",5281.404
2018,"Coos","ScrapMetal","production","production","Production",7188.36448068349
2018,"Coos","TinnedCan","endOfLife","landfilling","Disposal",312.566141184859
2018,"Coos","TinnedCan","endOfLife","recycling","Recovery",37.283
2018,"Coos","TinnedCan","endOfLifeTransport","landfilling","Disposal",312.566141184859
2018,"Coos","TinnedCan","endOfLifeTransport","recycling","Recovery",37.283
2018,"Coos","TinnedCan","production","production","Production",349.849202262627
2018,"Crook","Aluminum","endOfLife","landfilling","Disposal",81.0807762566852
2018,"Crook","Aluminum","endOfLife","recycling","Recovery",79.504
2018,"Crook","Aluminum","endOfLifeTransport","landfilling","Disposal",81.0807762566852
2018,"Crook","Aluminum","endOfLifeTransport","recycling","Recovery",79.504
2018,"Crook","Aluminum","production","production","Production",160.584776256685
2018,"Crook","Cardboard","endOfLife","combustion",NA,0
2018,"Crook","Cardboard","endOfLife","landfilling","Disposal",709.464337291009
2018,"Crook","Cardboard","endOfLife","recycling","Recovery",826.968
2018,"Crook","Cardboard","endOfLifeTransport","combustion",NA,0
2018,"Crook","Cardboard","endOfLifeTransport","landfilling","Disposal",709.464337291009
2018,"Crook","Cardboard","endOfLifeTransport","recycling","Recovery",826.968
2018,"Crook","Cardboard","production","production","Production",1536.43233729101
2018,"Crook","Carpeting","endOfLife","combustion",NA,0
2018,"Crook","Carpeting","endOfLife","landfilling","Disposal",524.814966158087
2018,"Crook","Carpeting","endOfLife","recycling",NA,0
2018,"Crook","Carpeting","endOfLifeTransport","combustion",NA,0
2018,"Crook","Carpeting","endOfLifeTransport","landfilling","Disposal",524.814966158087
2018,"Crook","Carpeting","endOfLifeTransport","recycling",NA,0
2018,"Crook","Carpeting","production","production","Production",524.814966158087
2018,"Crook","FoodWaste","endOfLife","anaerobicDigestion",NA,0
2018,"Crook","FoodWaste","endOfLife","combustion",NA,0
2018,"Crook","FoodWaste","endOfLife","composting",NA,0
2018,"Crook","FoodWaste","endOfLife","landfilling","Disposal",3276.50472133037
2018,"Crook","FoodWaste","endOfLifeTransport","anaerobicDigestion",NA,0
2018,"Crook","FoodWaste","endOfLifeTransport","combustion",NA,0
2018,"Crook","FoodWaste","endOfLifeTransport","composting",NA,0
2018,"Crook","FoodWaste","endOfLifeTransport","landfilling","Disposal",3276.50472133037
2018,"Crook","FoodWaste","production","production","Production",3276.50472133037
2018,"Crook","Glass","endOfLife","landfilling","Disposal",341.694052190472
2018,"Crook","Glass","endOfLife","recycling","Recovery",264.755
2018,"Crook","Glass","endOfLife","recyclingPozzolan",NA,0
2018,"Crook","Glass","endOfLife","recyclingToFiberglass",NA,0
2018,"Crook","Glass","endOfLife","reuseContainer",NA,0
2018,"Crook","Glass","endOfLife","useAsAggregate",NA,0
2018,"Crook","Glass","endOfLifeTransport","landfilling","Disposal",341.694052190472
2018,"Crook","Glass","endOfLifeTransport","recycling","Recovery",264.755
2018,"Crook","Glass","endOfLifeTransport","recyclingPozzolan",NA,0
2018,"Crook","Glass","endOfLifeTransport","recyclingToFiberglass",NA,0
2018,"Crook","Glass","endOfLifeTransport","reuseContainer",NA,0
2018,"Crook","Glass","endOfLifeTransport","useAsAggregate",NA,0
2018,"Crook","Glass","production","production","Production",606.449052190472
2018,"Crook","PaperFiber","endOfLife","combustion",NA,0
2018,"Crook","PaperFiber","endOfLife","landfilling","Disposal",2716.37010892591
2018,"Crook","PaperFiber","endOfLife","recycling","Recovery",291.269
2018,"Crook","PaperFiber","endOfLifeTransport","combustion",NA,0
2018,"Crook","PaperFiber","endOfLifeTransport","landfilling","Disposal",2716.37010892591
2018,"Crook","PaperFiber","endOfLifeTransport","recycling","Recovery",291.269
2018,"Crook","PaperFiber","production","production","Production",3007.63910892591
2018,"Crook","PlasticFilm","endOfLife","combustion",NA,0
2018,"Crook","PlasticFilm","endOfLife","landfilling","Disposal",1056.06033565194
2018,"Crook","PlasticFilm","endOfLife","recycling","Recovery",25.955
2018,"Crook","PlasticFilm","endOfLifeTransport","combustion",NA,0
2018,"Crook","PlasticFilm","endOfLifeTransport","landfilling","Disposal",1056.06033565194
