"impactCategory","impactUnits","year","wasteshed","material","magnitude","pctOfTotal","datatype"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","RigidPlastic",548.860488365795,0.00290318076604907,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","ScrapMetal",10585.2380032342,0.0559902926635163,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","TinnedCan",563.34273237062,0.0029797841527662,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Josephine","YardDebris",-1080.7366278383,-0.00571652333810157,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","Aluminum",1615.3422909443,0.0102208693753719,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","Cardboard",2806.98358194774,0.0177608254861759,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","Carpeting",1045.00494253109,0.00661213358562189,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","Electronics",71202.8002810808,0.450526507547937,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","FoodWaste",25990.8433738248,0.164453699113096,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","Glass",3075.21350339226,0.0194580156142496,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","PaperFiber",42008.3679605477,0.265802513810443,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","PlasticFilm",1248.11522450512,0.00789728761922176,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","RigidPlastic",472.507154893311,0.00298972789616617,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","ScrapMetal",8012.52928038664,0.050698242471755,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","TinnedCan",528.35753440866,0.00334311394740217,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Klamath","YardDebris",37.4663578723028,0.000237063532559334,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","Aluminum",145.79057073669,0.0116678047079864,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","Cardboard",251.150400660605,0.0200998858323491,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","Carpeting",100.291095720633,0.00802642388259632,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","Electronics",4810.79054277278,0.385013682712571,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","FoodWaste",2494.39222338144,0.19962938055918,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","Glass",249.055905767251,0.0199322607434696,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","PaperFiber",3774.42407900332,0.302071957167043,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","PlasticFilm",119.817928462713,0.00958918112985059,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","RigidPlastic",44.5440764759036,0.00356491906569961,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","ScrapMetal",470.60142362112,0.0376628301704684,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","TinnedCan",41.961768308722,0.00335825366039758,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lake","YardDebris",-7.70423388521155,-0.000616579631611781,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","Aluminum",8730.18507807508,0.0104311473623145,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","Cardboard",15108.8114111244,0.0180525655400662,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","Carpeting",5753.82591072459,0.00687488357178166,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","Electronics",362708.727481862,0.433377775170272,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","FoodWaste",132957.792335145,0.158862877752611,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","Glass",16844.7937823297,0.0201267813522715,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","PaperFiber",207846.354452296,0.248342495906145,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","PlasticFilm",4936.87001215009,0.00589875451033206,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","RigidPlastic",1757.3997841367,0.00209980612769226,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","ScrapMetal",85678.4629502371,0.102371789924021,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","TinnedCan",1988.5699207001,0.00237601673934529,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lane","YardDebris",-7377.48715591478,-0.0088148939568527,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","Aluminum",1193.94611647839,0.0094053917622071,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","Cardboard",2580.80216921678,0.020330444671853,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","Carpeting",900.806460999227,0.00709616418253024,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","Electronics",50266.6385029415,0.395978864677654,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","FoodWaste",22613.478183867,0.178139212892395,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","Glass",2858.1886292186,0.0225155753823947,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","PaperFiber",38450.3293862215,0.302895085692807,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","PlasticFilm",1070.42269556439,0.0084323276100903,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","RigidPlastic",419.663795895117,0.00330593010382301,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","ScrapMetal",6281.27156732177,0.0494811441153868,"impact"
"Air PM2.5","kg PM2.5 eq.",2018,"Lincoln","TinnedCan",426.949630148221,0.00336332475884067,"impact"
